Date,jci-price,jci-volume,sensex-price,sensex-volume,psei-price,psei-volume,ibov-price,ibov-volume,inr-price,php-price,brl-price,idr-price,gold-price,crude-price
2004-12-14,,,6325.53,14093870.0,,,,,,,,,,
2004-12-15,,,6402.29,22473480.0,,,,,,,,,,
2004-12-16,,,6420.38,18620740.0,,,,,,,,,,
2004-12-17,,,6346.48,16879520.0,,,,,,,,,,
2004-12-20,,,6403.0,16833010.0,,,,,,,,,,
2004-12-21,,,6451.3,14526930.0,,,,,,,,,,
2004-12-22,,,6413.66,16124210.0,,,,,,,,,,
2004-12-23,,,6441.85,11910820.0,,,,,,,,,,
2004-12-24,,,6498.06,14531010.0,,,,,,,,,,
2004-12-27,,,6513.03,16190320.0,,,,,,,,,,
2004-12-28,,,6563.48,14517670.0,,,,,,,,,,
2004-12-29,,,6567.94,12482010.0,,,,,,,,,,
2004-12-30,,,6522.54,13108250.0,,,,,,,,,,
2004-12-31,,,6602.69,12284330.0,,,,,,,,,,
2005-01-03,,,6679.2,45287220.0,,,,,,,,,,
2005-01-04,,,6651.01,55049000.0,,,,,,,,,,
2005-01-05,,,6458.84,83130728.0,,,,,,,,,,
2005-01-06,,,6367.39,76437800.0,,,,,,,,,,
2005-01-07,,,6420.46,61666120.0,,,,,,,,,,
2005-01-09,,,,13733.0,,,,,,,,,,
2005-01-10,,,6308.54,49040272.0,,,,,,,,,,
2005-01-11,,,6222.87,57712032.0,,,,,,,,,,
2005-01-12,,,6102.74,72189584.0,,,,,,,,,,
2005-01-13,,,6221.06,68940336.0,,,,,,,,,,
2005-01-14,,,6173.82,65449248.0,,,,,,,,,,
2005-01-16,,,,17628.0,,,,,,,,,,
2005-01-17,,,6194.07,68271776.0,,,,,,,,,,
2005-01-18,,,6192.35,73624736.0,,,,,,,,,,
2005-01-19,,,6173.32,54393560.0,,,,,,,,,,
2005-01-20,,,6183.24,87312768.0,,,,,,,,,,
2005-01-23,,,,22883.0,,,,,,,,,,
2005-01-24,,,6106.43,66896820.0,,,,,,,,,,
2005-01-25,,,6162.98,69512544.0,,,,,,,,,,
2005-01-27,,,6239.43,87206064.0,,,,,,,,,,
2005-01-28,,,6419.09,81757520.0,,,,,,,,,,
2005-01-30,,,,291823.0,,,,,,,,,,
2005-01-31,,,6555.94,80869032.0,,,,,,,,,,
2005-02-01,,,6552.47,87633928.0,,,,,,,,,,
2005-02-02,,,6530.06,139999200.0,,,,,,,,,,
2005-02-03,,,6619.97,52811900.0,,,,,,,,,,
2005-02-04,,,6618.23,60630032.0,,,,,,,,,,
2005-02-06,,,,70942.0,,,,,,,,,,
2005-02-07,,,6535.17,46712392.0,,,,,,,,,,
2005-02-08,,,6544.77,47620592.0,,,,,,,,,,
2005-02-09,,,6593.53,50164792.0,,,,,,,,,,
2005-02-10,,,6577.83,48138700.0,,,,,,,,,,
2005-02-11,,,6633.76,57905940.0,,,,,,,,,,
2005-02-14,,,6679.33,53075128.0,,,,,,,,,,
2005-02-15,,,6670.06,56985568.0,,,,,,,,,,
2005-02-16,,,6607.78,55537320.0,,,,,,,,,,
2005-02-17,,,6589.29,50895380.0,,,,,,,,,,
2005-02-18,,,6584.32,54111728.0,,,,,,,,,,
2005-02-20,,,,38529.0,,,,,,,,,,
2005-02-21,,,6534.68,42372200.0,,,,,,,,,,
2005-02-22,,,6589.41,40668608.0,,,,,,,,,,
2005-02-23,,,6582.5,44714940.0,,,,,,,,,,
2005-02-24,,,6574.21,73297344.0,,,,,,,,,,
2005-02-25,,,6569.72,53234768.0,,,,,,,,,,
2005-02-28,,,6713.86,78991344.0,,,,,,,,,,
2005-03-01,,,6651.08,60915008.0,,,,,,,,,,
2005-03-02,,,6686.89,73230096.0,,,,,,,,,,
2005-03-03,,,6784.72,63742860.0,,,,,,,,,,
2005-03-04,,,6849.48,64851980.0,,,,,,,,,,
2005-03-07,,,6878.98,59385992.0,,,,,,,,,,
2005-03-08,,,6915.09,56439580.0,2149.06,137438592.0,,,,,,,,
2005-03-09,1116.808,1851675008.0,6892.82,59963272.0,2157.14,159894896.0,,,,,,,,53.38
2005-03-10,1108.047,2416581120.0,6907.65,64540660.0,2137.42,161649504.0,28567.5,30676340736.0,,,,,,52.66
