Date,jci-price,sensex-price,psei-price,ibov-price,inr-price,php-price,brl-price,idr-price,gold-price,crude-price
2005-04-01,1095.066,6605.04,1966.29,26773.8,43.75,54.715,2.6588,9460.0,426.25,56.51
2005-04-04,1100.203,6604.42,1994.36,26406.8,43.7825,54.72,2.641,9481.0,424.25,56.23
2005-04-05,1096.526,6550.29,1962.7,26038.4,43.7825,54.7,2.6297,9480.0,425.35,55.44
2005-04-06,1103.288,6606.41,1962.38,25695.1,43.7538,54.74,2.6015,9475.0,426.7,55.27
2005-04-07,1111.621,6545.64,1914.22,26307.8,43.7275,54.53,2.5931,9505.0,425.9,54.04
2005-04-08,1111.226,6479.54,1906.69,25884.6,43.7663,54.59,2.585,9495.0,427.1,52.89
2005-04-11,1105.982,6397.52,1896.72,25899.7,43.7163,54.32,2.5865,9486.0,428.0,53.21
2005-04-12,1110.884,6464.61,1927.82,26206.2,43.7325,54.22,2.5668,9490.0,428.2,51.98
2005-04-13,1116.67,6467.92,1916.58,26066.1,43.75,54.08,2.561,9490.0,428.9,50.48
2005-04-15,1096.518,6248.34,1864.06,24655.8,43.83,54.58,2.6148,9533.0,424.9,51.61
2005-04-18,1060.189,6156.78,1818.87,24877.0,43.83,54.6,2.607,9570.0,427.35,50.78
2005-04-19,1062.693,6134.86,1834.06,25566.2,43.765,54.375,2.5695,9565.0,434.0,52.94
2005-04-20,1070.946,6243.74,1854.97,25062.4,43.755,54.375,2.5636,9575.0,434.6,53.78
2005-04-25,1019.875,6377.85,1860.56,25231.5,43.705,54.1,2.5243,9750.0,434.7,54.4
2005-04-26,1031.768,6339.98,1858.14,25304.8,43.67,54.35,2.536,9695.0,437.1,54.14
2005-04-27,1032.218,6278.5,1830.32,25241.7,43.7213,54.38,2.5146,9565.0,432.47,52.29
2005-04-28,1038.357,6284.2,1838.16,24439.7,43.705,54.365,2.5425,9575.0,431.4,52.48
2005-04-29,1029.613,6154.44,1854.63,24843.7,43.535,54.19,2.528,9570.0,434.4,51.09
